density,1.0,0.1505412909708832,1.1505412909708832
ls,1.0,0.16339957696120355,1.1633995769612036
vs,1.0,0.0640152751745202,1.0640152751745202
corrected_vs,0.9993437661473408,0.1492446674814551,1.148588433628796
squared_vs,0.8662665847761453,0.17282987180580478,1.03909645658195
lfp_1000,1.0,0.1961947265756258,1.1961947265756259
lfp_2000,0.9999999999999205,0.8918784835644951,1.8918784835644156
lfp_uwl,0.9997801200170149,0.15728002573038635,1.1570601457474012
lfp_rest,1.0,0.26512528139444835,1.2651252813944485
ndw,0.013459117767731454,0.3335703174770734,0.34702943524480484
ttr,0.9999999993652642,0.33679566472168576,1.3367956640869498
corrected_ttr,0.9999999963702653,0.007006581999302736,1.007006578369568
root_ttr,0.9999418725119131,0.007006581999308745,1.006948454511222
log_ttr,1.0,0.3731588146740478,1.3731588146740479
uber_ttr,0.0,0.08995231144173739,0.08995231144173739
lv,0.9999999993652642,0.33679566472168576,1.3367956640869498
vvi,0.07090734544800203,0.2925656805497298,0.36347302599773185
squared_vv,0.2447564490472467,0.9999999999999998,1.2447564490472465
corrected_vv,0.9999999999992513,0.1291136803871844,1.1291136803864357
vvii,1.0,0.2397035534329604,1.2397035534329603
nv,1.0,0.4001027407974044,1.4001027407974043
adjv,1.0,0.0,1.0
advv,1.0,0.4238567425487638,1.4238567425487638
modv,1.0,0.34947259408736436,1.3494725940873644